Description A,Judge A,Description B,Judge B,Answer,Chapter,Book,Version
Sodium channel selectivity involves high energetic costs due to Na+ ion's smaller radius and strong interaction with its waters of hydration.,True,Sodium channel selectivity involves low energetic costs due to Na+ ion's smaller radius and weak interaction with its waters of hydration.,False,Description A,322,PrincipleNeuralScience,1.0
The characteristic frequency of a cochlear hair cell depends on its position along the longitudinal axis of the cochlea.,True,The characteristic frequency of a cochlear hair cell depends on the size of the cochlear nerve rather than its position.,False,Description A,323,PrincipleNeuralScience,1.0
"Hair cells that respond to low-frequency stimuli have the tallest hair bundles, while those that respond to high-frequency signals have the shortest.",True,"Hair cells that respond to low-frequency stimuli have the shortest hair bundles, while those that respond to high-frequency signals have the tallest.",False,Description A,323,PrincipleNeuralScience,1.0
"The tuning curve of a cochlear hair cell is typically V-shaped, and the tip represents the cell's characteristic frequency.",True,"The tuning curve of a cochlear hair cell is typically flat, and the tip represents the cell's highest sensitivity to low frequencies.",False,Description A,323,PrincipleNeuralScience,1.0
Adaptation ensures that hair bundles maintain sensitivity to weak stimuli at their resting position.,True,Adaptation prevents hair bundles from responding to weak stimuli at their resting position.,False,Description A,323,PrincipleNeuralScience,1.0
"Myosin molecules in hair cells are involved in maintaining tip-link tension, which keeps transduction channels partially open at rest.",True,Myosin molecules in hair cells are unrelated to tip-link tension or the opening of transduction channels at rest.,False,Description A,323,PrincipleNeuralScience,1.0
"During adaptation, calcium ions reduce the upward force of myosin molecules, leading to channel closure.",True,"During adaptation, calcium ions increase the upward force of myosin molecules, leading to channel closure.",False,Description A,323,PrincipleNeuralScience,1.0
The process of adaptation allows hair cells to remain sensitive to transient stimuli while disregarding static inputs.,True,The process of adaptation causes hair cells to be equally sensitive to both transient and static inputs.,False,Description A,323,PrincipleNeuralScience,1.0
Hair cells use passive filtering from the basilar membrane and mechanical amplification for frequency selectivity.,True,Hair cells use electrical amplification only and do not involve passive filtering for frequency selectivity.,False,Description A,323,PrincipleNeuralScience,1.0
The tuning fork analogy describes how hair bundle heights vary systematically along the tonotopic axis.,True,The tuning fork analogy describes how cochlear nerve length varies systematically with sound frequency.,False,Description A,323,PrincipleNeuralScience,1.0
"Adaptation restores sensitivity to small, rapid hair-bundle deflections despite prolonged stimuli.",True,"Adaptation eliminates sensitivity to small, rapid hair-bundle deflections during prolonged stimuli.",False,Description A,323,PrincipleNeuralScience,1.0
Hair-cell adaptation mechanisms rely on repositioning tip-link insertional plaques.,True,Hair-cell adaptation mechanisms are unaffected by changes in tip-link insertional plaques.,False,Description A,323,PrincipleNeuralScience,1.0
Hair cells are capable of high-pass filtering to disregard low-frequency inputs when appropriate.,True,"Hair cells exclusively perform low-pass filtering, amplifying lower-frequency inputs.",False,Description A,323,PrincipleNeuralScience,1.0
The steepness of the tuning curve on the high-frequency side is greater compared to the low-frequency side.,True,The steepness of the tuning curve is uniform on both the high- and low-frequency sides.,False,Description A,323,PrincipleNeuralScience,1.0
Slow adaptation in hair cells can involve myosin motors driven by ATP hydrolysis.,True,Slow adaptation in hair cells occurs without the involvement of ATP-driven motors.,False,Description A,323,PrincipleNeuralScience,1.0
"Fast adaptation kinetics vary along the tonotopic axis, helping set characteristic frequencies of responsiveness.",True,"Fast adaptation kinetics are uniform across the tonotopic axis, independent of characteristic frequencies.",False,Description A,323,PrincipleNeuralScience,1.0
A mutation in a case of early onset narcolepsy and a generalized absence of hypocretin peptides is observed in human narcoleptic brains.,True,A mutation in a case of early onset narcolepsy and a generalized increase of hypocretin peptides is observed in human narcoleptic brains.,False,Description A,324,PrincipleNeuralScience,1.0
Sleep drives metabolite clearance from the adult brain.,True,Wakefulness drives metabolite clearance from the adult brain.,False,Description A,324,PrincipleNeuralScience,1.0
Field receptors respond to stroking or stretching of the skin in their receptive fields and are excited by painful stimuli like pulling hairs or strong pressure.,True,Field receptors exclusively respond to hair movement or air puffs and are not involved in sensing mechanical pain.,False,Description A,325,PrincipleNeuralScience,1.0
Muscle spindle afferent fibers encode the amplitude and speed of voluntary movements as well as passive limb displacement caused by external forces.,True,Muscle spindle afferent fibers encode only passive limb displacement caused by external forces and not voluntary movements.,False,Description A,325,PrincipleNeuralScience,1.0
"Golgi tendon organs are located at the junction between skeletal muscle and tendons, measuring the forces generated by muscle contraction.",True,Golgi tendon organs are embedded inside muscle fibers and primarily detect the length of the muscle.,False,Description A,325,PrincipleNeuralScience,1.0
"Joint receptors play little role in postural sensations of joint angle, which are mainly determined by muscle spindle receptors and efferent motor commands.",True,"Joint receptors are the primary determinants of postural sensations of joint angle, independent of muscle spindle receptors or efferent motor commands.",False,Description A,325,PrincipleNeuralScience,1.0
"Awl/auchene hairs are innervated by three different classes of sensory fibers: Aβ RA-LTMRs, Aδ-LTMRs, and C-LTMRs.",True,"Awl/auchene hairs are exclusively innervated by Aβ RA-LTMRs, but no other sensory fiber classes.",False,Description A,325,PrincipleNeuralScience,1.0
"TRP channels are gated by temperature and chemical ligands, and different types respond to different temperature ranges and activation thresholds.",True,TRP channels are exclusively gated by temperature and do not respond to chemical ligands.,False,Description A,325,PrincipleNeuralScience,1.0
"TRPV1 receptors respond to heat and produce burning pain sensations, being activated by substances like capsaicin and acids.",True,TRPV1 receptors only respond to cold stimuli and are activated by soothing substances like menthol.,False,Description A,325,PrincipleNeuralScience,1.0
"Intrafusal muscle fibers are aligned parallel to larger muscle fibers within a capsule, and they detect muscle stretch via mechanoreceptive ion channels.",True,Intrafusal muscle fibers are positioned perpendicular to larger muscle fibers and detect muscle contraction via ion channels.,False,Description A,325,PrincipleNeuralScience,1.0
The thermal qualities of objects are uniquely somatosensory and mediated by free nerve endings in the epidermis.,True,The thermal qualities of objects are primarily apprehended visually and not mediated by epidermal free nerve endings.,False,Description A,325,PrincipleNeuralScience,1.0
"Temperature sense involves a combinatorial code of multiple receptor types, transmitted by small-diameter afferent fibers.",True,Temperature sense is transmitted exclusively by large-diameter afferent fibers involving one receptor type.,False,Description A,325,PrincipleNeuralScience,1.0
Humans are sensitive to sudden changes in skin temperature and are generally unaware of slow changes in the range of 31°C to 36°C.,True,"Humans are equally sensitive to both sudden and slow changes in skin temperature, even within the range of 31°C to 36°C.",False,Description A,325,PrincipleNeuralScience,1.0
Piezo2 mediates signals transmitted by afferent fibers from muscle spindles and Golgi tendon organs.,True,Piezo2 is involved exclusively in signals from joint receptors and not muscle spindles or Golgi tendon organs.,False,Description A,325,PrincipleNeuralScience,1.0
"TRPM8 receptors respond to cooling, cold stimuli, and substances like menthol and mint.",True,"TRPM8 receptors respond to heating, warm stimuli, and substances like camphor.",False,Description A,325,PrincipleNeuralScience,1.0
Merkel cells are located at the epidermal–dermal boundary surrounding large-diameter guard hairs.,True,Merkel cells are evenly distributed across the surface of the epidermis and unrelated to guard hairs.,False,Description A,325,PrincipleNeuralScience,1.0
Zigzag hairs are the most numerous type of hair follicles and are innervated by Aδ- and C-LTMRs.,True,Zigzag hairs are the least numerous type of hair follicles and are exclusively innervated by Aβ RA-LTMRs.,False,Description A,325,PrincipleNeuralScience,1.0
Cyclooxygenase is one of the enzymes that metabolizes arachidonic acid to produce prostaglandins and thromboxanes.,True,Cyclooxygenase metabolizes arachidonic acid to produce leukotrienes exclusively.,False,Description A,326,PrincipleNeuralScience,1.0
CB1 receptors are the most abundant type of G protein–coupled receptor in the brain and predominantly inhibit neurotransmitter release.,True,CB1 receptors are concentrated in the peripheral immune system and predominantly stimulate neurotransmitter release.,False,Description A,326,PrincipleNeuralScience,1.0
Anandamide consists of arachidonic acid coupled to ethanolamine and is one of the two main endocannabinoids.,True,Anandamide consists of arachidonic acid coupled to glycerol and is the only identified endocannabinoid.,False,Description A,326,PrincipleNeuralScience,1.0
Nitric oxide (NO) stimulates guanylyl cyclase to convert GTP into cyclic GMP.,True,"Nitric oxide (NO) inhibits guanylyl cyclase, preventing the conversion of GTP into cyclic GMP.",False,Description A,326,PrincipleNeuralScience,1.0
Ionotropic receptors primarily regulate membrane conductance by opening or closing ion channels locally.,True,Ionotropic receptors regulate second-messenger cascades and are slower than metabotropic receptors.,False,Description A,326,PrincipleNeuralScience,1.0
"Lipoxygenases metabolize arachidonic acid into several active metabolites, including leukotrienes.",True,Lipoxygenases metabolize arachidonic acid exclusively into prostaglandins and thromboxanes.,False,Description A,326,PrincipleNeuralScience,1.0
The activation of CB1 receptors can inhibit both GABA and glutamate release from presynaptic terminals.,True,The activation of CB1 receptors can stimulate both GABA and glutamate release from presynaptic terminals.,False,Description A,326,PrincipleNeuralScience,1.0
Endocannabinoids are lipid metabolites that diffuse through membranes and modulate neighboring cells.,True,Endocannabinoids are water-soluble metabolites that only act inside the cell where they are synthesized.,False,Description A,326,PrincipleNeuralScience,1.0
Activation of metabotropic receptors can increase or decrease the opening of ion channels.,True,Activation of metabotropic receptors exclusively increases the opening of ion channels.,False,Description A,326,PrincipleNeuralScience,1.0
Prostaglandins and thromboxane synthesis in the brain is stimulated by acute cerebral ischemia.,True,Prostaglandins and thromboxane synthesis in the brain is inhibited during acute cerebral ischemia.,False,Description A,326,PrincipleNeuralScience,1.0
Cyclooxygenase is inhibited by nonsteroidal anti-inflammatory drugs like aspirin and indomethacin.,True,Cyclooxygenase is activated by nonsteroidal anti-inflammatory drugs like aspirin and indomethacin.,False,Description A,326,PrincipleNeuralScience,1.0
Nitric oxide readily diffuses through membranes and does not require surface receptors for action.,True,Nitric oxide requires surface receptors for diffusion through membranes.,False,Description A,326,PrincipleNeuralScience,1.0
The CB2 receptor subtype modulates immune responses by being primarily located on lymphocytes.,True,The CB2 receptor subtype predominantly inhibits neurotransmitter release in the brain.,False,Description A,326,PrincipleNeuralScience,1.0
Cyclic GMP activates a protein kinase (PKG) that phosphorylates specific substrates in neuronal cells.,True,Cyclic GMP inhibits protein kinase (PKG) activity and prevents substrate phosphorylation.,False,Description A,326,PrincipleNeuralScience,1.0
Metabotropic receptors can act on ion channels far from their own location by utilizing second messengers.,True,Metabotropic receptors only affect ion channels localized near their binding site.,False,Description A,326,PrincipleNeuralScience,1.0
Late LTP recruits the cAMP and PKA signaling pathway to activate by phosphorylation the cAMP response element binding protein (CREB) transcription factor.,True,Late LTP recruits the cAMP and PKC signaling pathway to activate by phosphorylation the cAMP response element binding protein (CREB) transcription factor.,False,Description A,327,PrincipleNeuralScience,1.0
Late LTP in the Schaffer collateral pathway is synapse specific.,True,Late LTP in the Schaffer collateral pathway is non-synapse specific.,False,Description A,327,PrincipleNeuralScience,1.0
PKMζ is an atypical isoform of PKC that is constitutively active.,True,PKMζ is an atypical isoform of PKC that is conditionally active.,False,Description A,327,PrincipleNeuralScience,1.0
Spatial memory depends on long-term potentiation (LTP).,True,Spatial memory does not depend on long-term potentiation (LTP).,False,Description A,327,PrincipleNeuralScience,1.0
Uwe Frey and Richard Morris proposed the synaptic capture hypothesis to explain synapse specificity.,True,Uwe Frey and Richard Morris proposed the synaptic capture hypothesis to explain synapse non-specificity.,False,Description A,327,PrincipleNeuralScience,1.0
Blocking NMDA receptors in the hippocampus before training causes difficulty in learning spatial tasks.,True,Blocking NMDA receptors in the hippocampus before training enhances the learning of spatial tasks.,False,Description A,327,PrincipleNeuralScience,1.0
CaMKII can become persistently active after a brief exposure to Ca2+ through its autophosphorylation.,True,CaMKII cannot become persistently active after a brief exposure to Ca2+.,False,Description A,327,PrincipleNeuralScience,1.0
NMDA receptor-dependent LTP is important for forming associations between events in explicit memory.,True,NMDA receptor-dependent LTP does not contribute to forming associations between events in explicit memory.,False,Description A,327,PrincipleNeuralScience,1.0
The synaptic capture hypothesis suggests that synapses are tagged to make use of newly synthesized proteins.,True,The synaptic capture hypothesis suggests that synapses are tagged to avoid using newly synthesized proteins.,False,Description A,327,PrincipleNeuralScience,1.0
The NR1 subunit of the NMDA receptor is essential for functional NMDA receptor formation.,True,The NR1 subunit of the NMDA receptor is non-essential for functional NMDA receptor formation.,False,Description A,327,PrincipleNeuralScience,1.0
Spike-timing-dependent plasticity (STDP) is induced when the presynaptic neuron fires just before the postsynaptic neuron.,True,Spike-timing-dependent plasticity (STDP) is induced when the postsynaptic neuron fires just before the presynaptic neuron.,False,Description A,327,PrincipleNeuralScience,1.0
"PKMζ synthesis increases during LTP, altering synaptic strength rapidly.",True,"PKMζ synthesis decreases during LTP, weakening synaptic strength rapidly.",False,Description A,327,PrincipleNeuralScience,1.0
Associative LTP enables weak synaptic inputs to be potentiated when paired with strong inputs.,True,Associative LTP prevents weak synaptic inputs from being potentiated even when paired with strong inputs.,False,Description A,327,PrincipleNeuralScience,1.0
Mutations in CREB binding protein (CBP) impair late LTP and learning in mice.,True,Mutations in CREB binding protein (CBP) enhance late LTP and learning in mice.,False,Description A,327,PrincipleNeuralScience,1.0
Genetic deletion of PKMζ shows negligible effect on late LTP.,True,Genetic deletion of PKMζ shows profound detrimental effects on late LTP.,False,Description A,327,PrincipleNeuralScience,1.0
Long-term potentiation (LTP) can be reverted by blocking PKMζ several hours after induction.,True,Long-term potentiation (LTP) cannot be reverted by blocking PKMζ several hours after induction.,False,Description A,327,PrincipleNeuralScience,1.0
The prism goggles displace the retinal image by 5° to 30° in adolescent owls.,True,The prism goggles displace the retinal image by 0° to 10° in adolescent owls.,False,Description A,328,PrincipleNeuralScience,1.0
"Over several weeks, the ITD to which tectal neurons responded optimally changed until the visual and auditory maps came back into register.",True,"Over several weeks, the ITD to which tectal neurons responded optimally did not change, preventing the visual and auditory maps from coming back into register.",False,Description A,328,PrincipleNeuralScience,1.0
Reorganization of auditory maps occurs optimally during a critical juvenile period.,True,Reorganization of auditory maps occurs optimally during any stage of adulthood.,False,Description A,328,PrincipleNeuralScience,1.0
"In adult owls, the use of goggles has little effect on the organization of the auditory map unless they wore goggles as adolescents.",True,"In adult owls, the use of goggles has a significant effect on the organization of the auditory map, regardless of their past experience.",False,Description A,328,PrincipleNeuralScience,1.0
Different functions and brain regions have different critical periods of development.,True,All functions and brain regions have the same critical period of development.,False,Description A,328,PrincipleNeuralScience,1.0
Visual and auditory maps can be realigned in adulthood through several strategies.,True,Visual and auditory maps cannot be realigned in adulthood under any circumstances.,False,Description A,328,PrincipleNeuralScience,1.0
Prism experience causes rewiring of connections between two deeper auditory nuclei in owls.,True,Prism experience does not affect connections between any auditory nuclei in owls.,False,Description A,328,PrincipleNeuralScience,1.0
The auditory pathway in a normal owl includes mapping ITD in frequency-specific channels in the brain stem.,True,The auditory pathway in a normal owl ignores ITD mapping in frequency-specific channels in the brain stem.,False,Description A,328,PrincipleNeuralScience,1.0
"In humans, different cognitive skills have different timing of critical periods.",True,"In humans, all cognitive skills develop during the same critical period.",False,Description A,328,PrincipleNeuralScience,1.0
Plasticity of binaural tuning in owls is greater when adult prism-wearing owls hunt live prey.,True,Plasticity of binaural tuning in owls decreases when they hunt live prey.,False,Description A,328,PrincipleNeuralScience,1.0
The timing of critical periods varies between brain regions.,True,The timing of critical periods is the same for all brain regions.,False,Description A,328,PrincipleNeuralScience,1.0
"In cats, the critical periods for development of orientation selectivity in visual neurons occur earlier than those for ocular dominance.",True,"In cats, the critical periods for development of ocular dominance in visual neurons occur earlier than those for orientation selectivity.",False,Description A,328,PrincipleNeuralScience,1.0
Reorganization due to prism experience in owls allows compensation for image displacement.,True,Reorganization due to prism experience in owls does not allow any compensation for image displacement.,False,Description A,328,PrincipleNeuralScience,1.0
"Critical periods can be reopened in adulthood, increasing brain plasticity.",True,"Critical periods are permanently closed after early development, limiting brain plasticity.",False,Description A,328,PrincipleNeuralScience,1.0
Certain cognitive capacities must be acquired before puberty to develop optimally.,True,Cognitive capacities can be acquired at any age with equal development outcome.,False,Description A,328,PrincipleNeuralScience,1.0
"Short-term sensitization of the gill-withdrawal reflex in Aplysia is produced by applying a noxious stimulus to another part of the body, such as the tail.",True,Short-term sensitization of the gill-withdrawal reflex in Aplysia is produced by touching the siphon gently.,False,Description A,329,PrincipleNeuralScience,1.0
The adenylyl cyclase converts adenosine triphosphate to cyclic adenosine monophosphate (cAMP).,True,The adenylyl cyclase converts cyclic adenosine monophosphate (cAMP) to adenosine triphosphate.,False,Description A,329,PrincipleNeuralScience,1.0
Presynaptic facilitation involves two molecular pathways.,True,Presynaptic facilitation involves only one molecular pathway.,False,Description A,329,PrincipleNeuralScience,1.0
Serotonin binds to metabotropic receptors in the sensory neuron terminal.,True,Serotonin binds to ionotropic receptors in the sensory neuron terminal.,False,Description A,329,PrincipleNeuralScience,1.0
The transition from short-term to long-term memory depends on a prolonged rise in cAMP.,True,The transition from short-term to long-term memory depends on a decrease in cAMP.,False,Description A,329,PrincipleNeuralScience,1.0
Spaced training over several days produces sensitization that persists for 1 or more weeks.,True,Spaced training over several days produces sensitization that lasts for only a few hours.,False,Description A,329,PrincipleNeuralScience,1.0
"In the presynaptic sensory neuron, the adenylyl cyclase acts as a coincidence detector.",True,"In the postsynaptic sensory neuron, the adenylyl cyclase acts as a coincidence detector.",False,Description A,329,PrincipleNeuralScience,1.0
The catalytic subunit of PKA phosphorylates and activates the transcription factor CREB-1.,True,The catalytic subunit of PKA phosphorylates and inhibits the transcription factor CREB-2.,False,Description A,329,PrincipleNeuralScience,1.0
"Like the short-term form, long-term sensitization involves changes in the strength of connections at several synapses.",True,"Unlike the short-term form, long-term sensitization does not involve changes in synaptic connections.",False,Description A,329,PrincipleNeuralScience,1.0
Activation of specific gene expression is required for long-term memory.,True,Activation of specific gene expression is not required for long-term memory.,False,Description A,329,PrincipleNeuralScience,1.0
"In Aplysia, long-term memory involves the growth of new synaptic connections.",True,"In Aplysia, long-term memory does not involve the growth of new synaptic connections.",False,Description A,329,PrincipleNeuralScience,1.0
The increase in cAMP leads to prolonged activation of PKA.,True,The increase in cAMP leads to inhibited activation of PKA.,False,Description A,329,PrincipleNeuralScience,1.0
Pathway 2: Serotonin binds to a second class of metabotropic receptor that activates the Gq/11 class of G protein.,True,Pathway 2: Serotonin binds to a second class of ionotropic receptor that activates the Gq/11 class of G protein.,False,Description A,329,PrincipleNeuralScience,1.0
"PKC phosphorylates presynaptic proteins, resulting in the mobilization of vesicles containing glutamate.",True,"PKC phosphorylates postsynaptic proteins, resulting in the depletion of vesicles containing glutamate.",False,Description A,329,PrincipleNeuralScience,1.0
The postsynaptic component in the gill motor neuron is similar to long-term potentiation in the mammalian brain.,True,The postsynaptic component in the gill motor neuron is similar to short-term potentiation in the mammalian brain.,False,Description A,329,PrincipleNeuralScience,1.0
The disordered myelination in Charcot-Marie-Tooth disease (type 1A) results from increased production of peripheral myelin protein 22 (PMP22).,True,The disordered myelination in Charcot-Marie-Tooth disease (type 1A) results from reduced production of peripheral myelin protein 22 (PMP22).,False,Description A,330,PrincipleNeuralScience,1.0
"Astrocytes secrete several synaptogenic factors, including thrombospondins, hevin, and glycipans, that promote the formation of new synapses.",True,"Astrocytes secrete several synaptogenic factors, including thrombospondins, hevin, and glycogen, that promote the formation of new synapses.",False,Description A,330,PrincipleNeuralScience,1.0
Microglia derive from myeloid progenitors in the yolk sac.,True,Microglia derive from neuroectodermal progenitors in the yolk sac.,False,Description A,330,PrincipleNeuralScience,1.0
Astrocytes can help remodel and eliminate excess synapses during development by phagocytosis.,True,Astrocytes do not engage in synapse elimination during development.,False,Description A,330,PrincipleNeuralScience,1.0
PMP22 gene duplication results in two functioning PMP22 genes in patients with Charcot-Marie-Tooth disease.,True,PMP22 gene duplication results in only one functioning PMP22 gene in patients with Charcot-Marie-Tooth disease.,False,Description A,330,PrincipleNeuralScience,1.0
Astrocytes prepare the surface of the neuron for synapse formation and stabilize newly formed synapses.,True,"Astrocytes destabilize synapse formation in neurons, hindering synaptic stabilization.",False,Description A,330,PrincipleNeuralScience,1.0
"Following injury and disease, microglia undergo changes in morphology and gene expression.",True,"Following injury and disease, microglia remain morphologically static and do not alter gene expression.",False,Description A,330,PrincipleNeuralScience,1.0
Astrocytes improve synaptic function and even behavior by releasing nutrients and regulating blood flow.,True,Astrocytes degrade synaptic function and behavior by depleting nutrients and reducing blood flow.,False,Description A,330,PrincipleNeuralScience,1.0
Microglia help sculpt developing neural circuits by engulfing pre- and postsynaptic structures.,True,Microglia disrupt neural circuits by destroying pre- and postsynaptic structures indiscriminately.,False,Description A,330,PrincipleNeuralScience,1.0
Astrocytes ensheathe small arterioles and capillaries throughout the brain.,True,Astrocytes never come into contact with the arterioles and capillaries in the brain.,False,Description A,330,PrincipleNeuralScience,1.0
Astrocytes undergo a transformation called reactive astrogliosis in response to brain injury and disease.,True,Astrocytes remain unchanged in response to brain injury and disease.,False,Description A,330,PrincipleNeuralScience,1.0
Astrocytes release neurotrophic and gliotrophic factors that promote the development and survival of neurons.,True,Astrocytes prevent the development and survival of neurons by releasing inhibitory factors.,False,Description A,330,PrincipleNeuralScience,1.0
Reactive astrocytes can promote repair and recovery or contribute to neuronal death after CNS injury.,True,Reactive astrocytes always exclusively promote repair and recovery after CNS injury and never contribute to neuronal death.,False,Description A,330,PrincipleNeuralScience,1.0
"Following brain injury, astrocytes retract from damaged postsynaptic cell bodies.",True,"Following brain injury, astrocytes do not retract from damaged postsynaptic cell bodies but instead advance towards them.",False,Description A,330,PrincipleNeuralScience,1.0
Microglia serve to bring lymphocytes into the CNS during infection and stroke.,True,Microglia prevent the entry of lymphocytes into the CNS during infection and stroke.,False,Description A,330,PrincipleNeuralScience,1.0
"Neurons in the dorsal nucleus are predominantly binaural, receiving input from the ipsilateral medial superior olive.",True,"Neurons in the dorsal nucleus are predominantly monaural, receiving input only from the contralateral medial superior olive.",False,Description A,331,PrincipleNeuralScience,1.0
"The inferior colliculus of mammals is subdivided into the central nucleus, dorsal cortex, and external cortex.",True,"The inferior colliculus of mammals is subdivided into the central cortex, dorsal nucleus, and external nucleus.",False,Description A,331,PrincipleNeuralScience,1.0
Neurons in the dorsal nucleus of the lateral lemniscus are GABAergic and contribute to the precedence effect.,True,Neurons in the dorsal nucleus of the lateral lemniscus are glycinergic and do not contribute to the precedence effect.,False,Description A,331,PrincipleNeuralScience,1.0
The central nucleus of the inferior colliculus is organized tonotopically.,True,The central nucleus of the inferior colliculus is not organized tonotopically.,False,Description A,331,PrincipleNeuralScience,1.0
The inferior colliculus acts as a central point for converging auditory pathways.,True,The inferior colliculus acts as a peripheral point for converging auditory pathways.,False,Description A,331,PrincipleNeuralScience,1.0
"The superior colliculus aligns auditory, visual, and somatosensory spatial maps.",True,"The superior colliculus aligns only auditory maps, not visual or somatosensory maps.",False,Description A,331,PrincipleNeuralScience,1.0
The superior colliculus creates a spatial map of sound from both binaural and monaural cues.,True,The superior colliculus creates a spatial map of sound using only monaural cues.,False,Description A,331,PrincipleNeuralScience,1.0
Interaural time and intensity differences are crucial for sound localization in the horizontal plane.,True,Interaural time and intensity differences are crucial for sound localization in the vertical plane.,False,Description A,331,PrincipleNeuralScience,1.0
Neurons become more selective at successive auditory areas along the ascending pathway.,True,Neurons become less selective at successive auditory areas along the ascending pathway.,False,Description A,331,PrincipleNeuralScience,1.0
Descending projections from the auditory cortex to the medial geniculate body are both anatomically and functionally prominent.,True,Descending projections from the auditory cortex to the medial geniculate body are not prominent either anatomically or functionally.,False,Description A,331,PrincipleNeuralScience,1.0
The inferior colliculus transmits auditory information to the cerebral cortex via the lemniscal and extralemniscal pathways.,True,The inferior colliculus transmits auditory information to the cerebral cortex via only the lemniscal pathway.,False,Description A,331,PrincipleNeuralScience,1.0
The superior colliculus helps reflexive orienting movements of the head and eyes to acoustic and visual cues.,True,The superior colliculus helps reflexive orienting movements of the head and eyes to olfactory and tactile cues.,False,Description A,331,PrincipleNeuralScience,1.0
The receptive field of a cortical neuron contains a sustained firing region for preferred stimuli.,True,The receptive field of a cortical neuron only contains an onset firing region.,False,Description A,331,PrincipleNeuralScience,1.0
Tuning can be modulated by descending inputs from the cortex in the inferior colliculus.,True,Tuning cannot be modulated by descending inputs from the cortex in the inferior colliculus.,False,Description A,331,PrincipleNeuralScience,1.0
Inhibition in the inferior colliculus can suppress simulated reflections of sounds.,True,Inhibition in the inferior colliculus cannot suppress simulated reflections of sounds.,False,Description A,331,PrincipleNeuralScience,1.0
The population vectors were calculated by vectorial addition of all the single-cell vectors in each cluster.,True,The population vectors were calculated by multiplying all the single-cell vectors in each cluster.,False,Description A,332,PrincipleNeuralScience,1.0
The decoded population-vector signals varied systematically with the direction of output forces.,True,The decoded population-vector signals did not vary with the direction of output forces.,False,Description A,332,PrincipleNeuralScience,1.0
M1 neurons displayed a broad range of changes in their activity patterns.,True,M1 neurons displayed consistent changes in their activity patterns.,False,Description A,332,PrincipleNeuralScience,1.0
M1 neurons can signal impending intended movements.,True,M1 neurons cannot signal impending intended movements.,False,Description A,332,PrincipleNeuralScience,1.0
Afferent input from cutaneous and muscle sensory neurons is equally prevalent for hand-related neurons.,True,Afferent input from cutaneous and muscle sensory neurons is mostly absent for hand-related neurons.,False,Description A,332,PrincipleNeuralScience,1.0
Motor corrections beginning in the long-latency epoch are modulated by the behavioral context.,True,Motor corrections beginning in the long-latency epoch are not modulated by the behavioral context.,False,Description A,332,PrincipleNeuralScience,1.0
Sensory feedback supports our ability to make rapid goal-directed corrections for motor errors.,True,Sensory feedback does not support our ability to make rapid corrections for motor errors.,False,Description A,332,PrincipleNeuralScience,1.0
Muscle afferent feedback to M1 is surprisingly rapid.,True,Muscle afferent feedback to M1 is unusually slow.,False,Description A,332,PrincipleNeuralScience,1.0
Perturbation-related activity is observed in cortical regions beginning at approximately 20 ms after disturbance.,True,Perturbation-related activity is observed starting 200 ms after disturbance.,False,Description A,332,PrincipleNeuralScience,1.0
The transcortical feedback pathway supports rapid long-latency motor responses.,True,The transcortical feedback pathway hinders rapid long-latency motor responses.,False,Description A,332,PrincipleNeuralScience,1.0
Movement disorders such as Parkinson disease involve cognitive and affective changes.,True,Movement disorders such as Parkinson disease do not involve cognitive and affective changes.,False,Description A,333,PrincipleNeuralScience,1.0
Synaptic function is a common physiological point that many different disease conditions converge on.,True,Genetic variance is a common physiological point that many different disease conditions converge on.,False,Description A,333,PrincipleNeuralScience,1.0
Aging and neurodegenerative disorders bring about synaptic loss through gradual alterations in protein and RNA homeostasis.,True,Aging and neurodegenerative disorders bring about synaptic improvement through gradual alterations in protein and RNA homeostasis.,False,Description A,333,PrincipleNeuralScience,1.0
"The motor unit is the basic unit of motor function, consisting of a motor neuron and the group of muscle fibers it innervates.",True,"The motor neuron is the basic unit of motor function, consisting solely of a group of muscle fibers.",False,Description A,333,PrincipleNeuralScience,1.0
Smooth muscle is used primarily for internal actions such as peristalsis and control of blood flow.,True,Smooth muscle is used primarily for external actions such as movement of limbs.,False,Description A,333,PrincipleNeuralScience,1.0
Myasthenia Gravis is a well-studied example of a neuromuscular junction disease.,True,Myasthenia Gravis is unrelated to neuromuscular junction diseases.,False,Description A,333,PrincipleNeuralScience,1.0
"Disorders of the motor unit can be grouped into motor neuron diseases, peripheral neuropathies, neuromuscular junction disorders, and myopathies.",True,Disorders of the motor unit can only be grouped into myopathies.,False,Description A,333,PrincipleNeuralScience,1.0
Peripheral neuropathies involve both sensory and motor neurons.,True,Peripheral neuropathies involve only the sensory neurons.,False,Description A,333,PrincipleNeuralScience,1.0
"In motor neuron diseases, the motor neurons and motor tracts in the spinal cord degenerate, while sensory nerves are spared.",True,"In motor neuron diseases, both motor and sensory neurons degenerate.",False,Description A,333,PrincipleNeuralScience,1.0
Diseases of skeletal muscle can be inherited or acquired.,True,Diseases of skeletal muscle can only be inherited.,False,Description A,333,PrincipleNeuralScience,1.0
The smallest motor units are the first to be recruited during voluntary movements.,True,The largest motor units are the first to be recruited during voluntary movements.,False,Description A,333,PrincipleNeuralScience,1.0
"When a peripheral nerve is cut, the muscles it innervates become paralyzed and waste progressively.",True,"When a peripheral nerve is cut, the muscles it innervates grow stronger.",False,Description A,333,PrincipleNeuralScience,1.0
